dataset,sweep,model,config,roc_mean,roc_std,pr_mean,pr_std,time_mean,time_std
arrhythmia,IF_depth_and_trees,IF,IF_t100_d8,0.8053854608258753,0.001572164609515644,0.4409486625122331,0.0060870004518338424,0.0028618335723876952,0.0008619741217708367
arrhythmia,IF_depth_and_trees,IF,IF_t200_d8,0.8014327209923066,0.0008164263947893196,0.4558010927597957,0.00379993250075703,0.005363655090332031,0.00016627513407300757
arrhythmia,IF_depth_and_trees,IF,IF_t100_dNone,0.7937313550007851,0.001745656734221188,0.458211687835038,0.005625301878152661,0.011726450920104981,0.00036561737550998936
arrhythmia,IF_depth_and_trees,IF,IF_t200_dNone,0.8081194065002355,0.0005320179594358036,0.4755463721192239,0.0030865097504312634,0.024024605751037598,0.0009690665218087544
arrhythmia,IF_sample_size,IF,IF_s64,0.8097739048516251,0.0019201558481659025,0.5020526080605199,0.006560084535729659,0.002348804473876953,0.00010425759590090092
arrhythmia,IF_sample_size,IF,IF_s128,0.8166470403517035,0.001362292479595119,0.48368821918751326,0.0013128498014505247,0.0023736476898193358,9.069442749023437e-05
arrhythmia,IF_sample_size,IF,IF_s256,0.8053854608258753,0.001572164609515644,0.4409486625122331,0.0060870004518338424,0.0026391983032226563,0.00017084061919679812
arrhythmia,IF_sample_size,IF,IF_s512,0.7946223897001099,0.001768443156106888,0.4614536240874501,0.0037055090190809313,0.0026544570922851563,8.813694785446583e-05
arrhythmia,Split_geometry_ndim,IF,ndim1_random,0.8053854608258753,0.001572164609515644,0.4409486625122331,0.0060870004518338424,0.0026319265365600587,0.00012326238003182658
arrhythmia,Split_geometry_ndim,EIF,ndim2_random,0.7984926990108338,0.0024427123224486373,0.475766014163337,0.005213639787455477,0.013190603256225586,0.00031859198071848376
arrhythmia,FCF_trees_and_samplesize,FCF,FCF_t100_s256,0.8012207567907049,0.0017938237145067564,0.5255395248573128,0.007002377880938203,0.027628493309020997,0.0013969017228583492
arrhythmia,FCF_trees_and_samplesize,FCF,FCF_t200_s256,0.804066572460355,0.0005223550271988532,0.5456463408581016,0.001669088089910621,0.057908153533935545,0.001904874831157827
arrhythmia,FCF_trees_and_samplesize,FCF,FCF_t200_s128,0.8125274768409483,0.0005840238657276769,0.5396271913337902,0.0009735566115327683,0.030420875549316405,0.0009034082930279088
arrhythmia,FCF_trees_and_samplesize,FCF,FCF_t200_s512,0.7955781912388129,0.0004420105830846588,0.4769491757486925,0.0020847301235880863,0.10462117195129395,0.0007485739947861435
arrhythmia,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry1_pen0,0.820654733867169,0.0018765877347238738,0.5343741151890189,0.00287928749393412,0.016638708114624024,0.0005417774164455671
arrhythmia,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen0,0.7570183702308054,0.0025420919584104858,0.4218503662629008,0.005630792715370212,0.11776390075683593,0.001060659066167049
arrhythmia,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen1,0.7577641701994033,0.002799117122401545,0.42223276074986693,0.006106837353612634,0.11719942092895508,0.0008372978355589873
arrhythmia,Scoring_metric,IF,IF_score_depth,0.8053854608258753,0.001572164609515644,0.4409486625122331,0.0060870004518338424,0.0026383161544799804,9.325174848691345e-05
arrhythmia,Scoring_metric,IF,IF_score_density,0.7953407128277594,0.0029497221842804456,0.41481853872586594,0.0059408718413785895,0.002653169631958008,7.513309010765379e-05
pima,IF_depth_and_trees,IF,IF_t100_d8,0.6949634328358208,0.0021215131653934825,0.5126758102383808,0.0017733861257948188,0.00423586368560791,0.00020061195070161396
pima,IF_depth_and_trees,IF,IF_t200_d8,0.6857380597014925,0.000631604776304504,0.5049188076038299,0.0006790923472168968,0.008926320075988769,0.000192763273104027
pima,IF_depth_and_trees,IF,IF_t100_dNone,0.6867850746268657,0.0008981850961350375,0.5095452256089892,0.0021805830745727506,0.012354898452758788,0.00016528388588070894
pima,IF_depth_and_trees,IF,IF_t200_dNone,0.6734264925373135,0.000793097958513151,0.5000186530561751,0.000913685318344706,0.025510764122009276,0.0007675284452296297
pima,IF_sample_size,IF,IF_s64,0.6720052238805969,0.0024808332996289857,0.5105352969456658,0.004059377861127208,0.004039883613586426,0.00013773527156673928
pima,IF_sample_size,IF,IF_s128,0.670276119402985,0.0011661340264350548,0.49638605256366714,0.0010587449478917691,0.003979372978210449,7.247462461808315e-05
pima,IF_sample_size,IF,IF_s256,0.6949634328358208,0.0021215131653934825,0.5126758102383808,0.0017733861257948188,0.004220700263977051,0.0001120383394648943
pima,IF_sample_size,IF,IF_s512,0.6551873134328359,0.0008700125977533113,0.4936446831225017,0.0007889714994977878,0.004820799827575684,0.00011583906916867677
pima,Split_geometry_ndim,IF,ndim1_random,0.6949634328358208,0.0021215131653934825,0.5126758102383808,0.0017733861257948188,0.004170632362365723,4.967678094405144e-05
pima,Split_geometry_ndim,EIF,ndim2_random,0.6766313432835821,0.000894708585453852,0.5032224915796375,0.0017518866511761222,0.01881730556488037,0.0005788662802121006
pima,FCF_trees_and_samplesize,FCF,FCF_t100_s256,0.6974772388059701,0.0008413239183694002,0.5209423569618306,0.001837517138067384,0.029743218421936037,0.0006435291316346856
pima,FCF_trees_and_samplesize,FCF,FCF_t200_s256,0.7042641791044775,0.00037954493158280086,0.5286695334186857,0.0003280823737329915,0.06171619892120361,0.0008620627154897249
pima,FCF_trees_and_samplesize,FCF,FCF_t200_s128,0.7087257462686567,0.0005591247028001204,0.5387846208801927,0.0007175236584878208,0.035277271270751955,0.0007761155980304851
pima,FCF_trees_and_samplesize,FCF,FCF_t200_s512,0.6919078358208954,0.0004554930999856774,0.5167661414393019,0.00042304243844137825,0.12358648777008056,0.001015040040005471
pima,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry1_pen0,0.6117376865671641,0.001112454866913735,0.42587450705590885,0.0007924291991390136,0.023017501831054686,0.0004619850311096162
pima,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen0,0.590244776119403,0.0010825953527082636,0.41292258503520884,0.00037069098090725843,0.12004854679107665,0.0008505731987664147
pima,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen1,0.5895283582089552,0.0009264155178643188,0.41154716049731244,0.0003785497408355376,0.11977214813232422,0.0012873099106765404
pima,Scoring_metric,IF,IF_score_depth,0.6949634328358208,0.0021215131653934825,0.5126758102383808,0.0017733861257948188,0.004413866996765136,0.00011476284929853909
pima,Scoring_metric,IF,IF_score_density,0.6748089552238807,0.001458809971011149,0.5337365016502593,0.0011075851324504902,0.004321694374084473,0.00010495603157509974
spambase,IF_depth_and_trees,IF,IF_t100_d8,0.6402774359579032,0.004332167363946707,0.488378368315349,0.004888974370935437,0.016643857955932616,0.00029833722167064666
spambase,IF_depth_and_trees,IF,IF_t200_d8,0.6701208828950169,0.0012504922808888768,0.5252758047994384,0.0016570140951787406,0.03497207164764404,0.0005714172096757038
spambase,IF_depth_and_trees,IF,IF_t100_dNone,0.7003990389827651,0.0022989429899537275,0.5343616723779444,0.0028440635318665226,0.10868043899536133,0.0005584280126924105
spambase,IF_depth_and_trees,IF,IF_t200_dNone,0.7133503269468631,0.0008226231592110418,0.554446087106481,0.001416048447141944,0.22399253845214845,0.004206968009612702
spambase,IF_sample_size,IF,IF_s64,0.6864207647462413,0.001749488638060266,0.5163762097197659,0.0019496432337830357,0.017374205589294433,0.0006240340220800357
spambase,IF_sample_size,IF,IF_s128,0.684469786596247,0.0021993899142541996,0.518125150033449,0.002670736111464323,0.01676783561706543,0.0002195327464019211
