dataset,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,train_time
pima,LOF,0.6839670781893004,0.02841394493486432,0.5045363433976102,0.03407497683200626,0.028472328186035158
pima,OCSVM-rbf,0.6100411522633744,0.03796300199625499,0.48993823246837265,0.03978172916067511,0.0010998249053955078
pima,OCSVM-linear,0.4355720164609053,0.147061431752076,0.3543923676964781,0.11369820770745465,0.0004333972930908203
spambase,IF,0.8289562688874833,0.01411813907141609,0.7599735656203837,0.029392872738597354,0.005459642410278321
spambase,IF-U,0.8247961908777848,0.01098024323336236,0.743871727148767,0.022531483631987148,0.008797693252563476
spambase,EIF-o,0.8342366382036686,0.014494351700820555,0.765160077912957,0.025152643797041473,0.018692731857299805
spambase,EIF-t,0.8257054255393912,0.015088309604824377,0.7544922139389295,0.02334767973486721,0.022925424575805663
spambase,SCiF,0.8355389960643755,0.010849717288725953,0.770094906626625,0.01792433122156623,0.08819518089294434
spambase,SCiF-u,0.8390918195235084,0.004652111500105509,0.8209713741559135,0.013701443736262458,0.09011778831481934
spambase,FCF,0.8322758538899431,0.01624649990677351,0.7646241739520809,0.027485427598233473,0.044723796844482425
spambase,LOF,0.7875806012369104,0.011173016521198412,0.596985974480163,0.01698119780949849,0.01666860580444336
spambase,OCSVM-rbf,0.8034188541007801,0.010308312133814864,0.759037543929747,0.012980581653561937,0.023142290115356446
spambase,OCSVM-linear,0.2905982061283295,0.03174301908251645,0.30765715140581334,0.032616049340726185,0.01296534538269043
satellite,IF,0.7997797946734118,0.009010273751282438,0.7693264609829796,0.009186809278721543,0.009242963790893555
satellite,IF-U,0.8340141595992658,0.006953257290074061,0.6141572143962334,0.02303650667535981,0.015104913711547851
satellite,EIF-o,0.7722742151465556,0.014625936767461628,0.7639970703525869,0.010123427704366153,0.03368721008300781
satellite,EIF-t,0.8386389674155632,0.012521571581794236,0.6639183174271919,0.03264993372809773,0.03947935104370117
satellite,SCiF,0.7837860189455934,0.005878450930261757,0.7275696090749232,0.006310790449606158,0.14560332298278808
satellite,SCiF-u,0.828639091405049,0.004809016686327757,0.7544676299566448,0.009209525340279065,0.136582088470459
satellite,FCF,0.8503118335565144,0.006961791913400129,0.7052222705415724,0.010797710503862407,0.0807772159576416
satellite,LOF,0.8516948122799187,0.006852562795428406,0.8248653050843263,0.006113615280077844,0.028908157348632814
satellite,OCSVM-rbf,0.7292781332143033,0.008687037513322601,0.739766853512506,0.009127132759158895,0.041676807403564456
satellite,OCSVM-linear,0.3768913356147399,0.22367486369260298,0.33518071721281295,0.21001881773762854,0.016103410720825197
pendigits,IF,0.9646030974666695,0.010559974162946698,0.4348736208666266,0.02238517509274205,0.010852575302124023
pendigits,IF-U,0.966916689556086,0.006710693858197841,0.3310703890115894,0.03687338555801848,0.014913463592529297
pendigits,EIF-o,0.9575355490291365,0.006272627353039308,0.33819904915055726,0.03254626960452036,0.03555665016174316
pendigits,EIF-t,0.9605622345707705,0.008257700008379207,0.29464072351138204,0.05576133014780399,0.04079699516296387
pendigits,SCiF,0.9778465634177778,0.0053246365237948744,0.4379893180633562,0.04159510865571476,0.13429017066955568
pendigits,SCiF-u,0.9807116144435758,0.004625294752685362,0.446160900764372,0.05197866388729102,0.1309513568878174
pendigits,FCF,0.9656954509919922,0.002757261491037623,0.31017603222147977,0.017666628725285554,0.08338980674743653
pendigits,LOF,0.9870586743856832,0.007270693678786662,0.847612669605265,0.05432202212836461,0.03876862525939941
pendigits,OCSVM-rbf,0.9790487861564792,0.0039027416223075154,0.5635791410680505,0.07552996719617663,0.05990161895751953
pendigits,OCSVM-linear,0.4377569777514843,0.31362892291648403,0.039998385998557706,0.0327195772901011,0.021938180923461913
annthyroid,IF,0.914079375,0.010753943971283236,0.4638815506258502,0.027511506165928453,0.009462642669677734
annthyroid,IF-U,0.8977356249999999,0.00887528005720098,0.48317224235656875,0.02320812885274784,0.0145965576171875
annthyroid,EIF-o,0.9152025,0.00993199580270756,0.4787885752133924,0.04048660826773105,0.036318635940551756
annthyroid,EIF-t,0.9050225000000001,0.004290446964623868,0.4900986124336028,0.025431304456261242,0.04101157188415527
annthyroid,SCiF,0.9753118749999998,0.005806686323083686,0.7290026373218209,0.032716742898201694,0.1455301284790039
annthyroid,SCiF-u,0.9777703124999999,0.0023874124656727944,0.7376805080758779,0.027250783923474697,0.13367180824279784
annthyroid,FCF,0.911418125,0.004420535088510203,0.5016610898283339,0.03156934257865503,0.08347477912902831
annthyroid,LOF,0.9275968749999999,0.014357451925089278,0.5119441154939968,0.05840202607263758,0.04070472717285156
annthyroid,OCSVM-rbf,0.860300625,0.020688115965150095,0.48021871534658994,0.030034874930298387,0.05890378952026367
annthyroid,OCSVM-linear,0.314484375,0.225938174869324,0.09707128943738783,0.1005011811834088,0.024107027053833007
mnist,IF,0.8592945666919591,0.021564284625727525,0.39426009792301747,0.052955511097252744,0.011384344100952149
mnist,IF-U,0.8351939481731853,0.012169714426795146,0.35959912159089774,0.02144992340595928,0.01461186408996582
mnist,EIF-o,0.8672644915039893,0.007425019141675229,0.42201708420046397,0.024899788697989207,0.03680319786071777
mnist,EIF-t,0.8494856407072728,0.012117803809234782,0.36532711407796503,0.02806565812261291,0.04038147926330567
mnist,SCiF,0.9002777586167253,0.01327786439668956,0.48556623644194963,0.0586826296434365,0.12685446739196776
mnist,SCiF-u,0.8880232691821297,0.02207878758158501,0.4842579728710441,0.081594287983992,0.12937698364257813
mnist,FCF,0.8575571957416477,0.01127545508074803,0.3884797544728759,0.02558981262795901,0.08678803443908692
mnist,LOF,0.9304283644892045,0.0036534561575253337,0.6054908152424389,0.033755209975791595,0.07138795852661133
mnist,OCSVM-rbf,0.9009744544848358,0.005661195581205846,0.5545719467063062,0.023922354204714943,0.14025287628173827
mnist,OCSVM-linear,0.28452139523119724,0.07487425859647502,0.06609640309127036,0.01181923144242777,0.07215495109558105
