dataset,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,train_time
pima,OCSVM-linear,0.25937313432835823,0.0,0.2378837061773083,0.0,0.0010396480560302735
spambase,IF,0.6402774359579032,0.004332167363946707,0.488378368315349,0.004888974370935437,0.01715233325958252
spambase,IF-u,0.7133503269468631,0.0008226231592110418,0.554446087106481,0.001416048447141944,0.2332610607147217
spambase,EIF,0.5858233240560562,0.004588795807052418,0.4429494984674568,0.004200360597976749,0.05211331844329834
spambase,SCiF,0.4695556304261982,0.001076618810978181,0.3778402324341449,0.0007134636370337808,0.12822704315185546
spambase,SCiF-u,0.42683126645516484,0.00019533420029323482,0.34780424923617603,0.00022629917472949193,3.5618733882904055
spambase,FCF,0.7162791880100755,0.0010645062504803947,0.5466248130586266,0.0015232998194727192,0.41834278106689454
spambase,LOF,0.456517610340115,5.551115123125783e-17,0.3545932030553562,5.551115123125783e-17,0.06573858261108398
spambase,OCSVM-rbf,0.5395488782197123,1.1102230246251565e-16,0.40509912210917776,0.0,0.14911332130432128
spambase,OCSVM-linear,0.27255084631083815,0.0,0.27755376920998176,0.0,0.056081080436706544
satellite,IF,0.6928670719501797,0.006012183009755137,0.6410304128589641,0.0023807953092210557,0.028618645668029786
satellite,IF-u,0.705298991867682,0.0008487715345997319,0.6603205275674574,0.0008411666302017795,0.17951934337615966
satellite,EIF,0.6802421719349503,0.0021023633513209718,0.614428608080172,0.002172678995688115,0.08751204013824462
satellite,SCiF,0.6040698379386992,0.002061427680180917,0.5871398527583505,0.0011220728172529617,0.21146137714385987
satellite,SCiF-u,0.745027128196219,0.0003464119828200911,0.6821652494827226,0.0005557597944991661,1.3906209945678711
satellite,FCF,0.8151006256556789,0.0007442867803309147,0.7235990323350387,0.0015345268951754492,0.24838547706604003
satellite,LOF,0.5417468517358159,0.0,0.3723814799090017,0.0,0.0915562629699707
satellite,OCSVM-rbf,0.5457845393510133,1.1102230246251565e-16,0.46240879296027604,0.0,0.229075288772583
satellite,OCSVM-linear,0.434884848360339,5.551115123125783e-17,0.27025394240450656,5.551115123125783e-17,0.08835790157318116
pendigits,IF,0.9586523185383775,0.002474137036762279,0.2958377561296834,0.010555551384368653,0.03347547054290771
pendigits,IF-u,0.9500465445338099,0.0010153763009301034,0.27652733557637416,0.005888551405458807,0.16713349819183348
pendigits,EIF,0.9621389098936015,0.0011138749770738905,0.26160755460795965,0.006363157062615113,0.09202761650085449
pendigits,SCiF,0.981866631531511,0.0005913416670158719,0.41972957586114,0.009470229068402544,0.19688329696655274
pendigits,SCiF-u,0.984430925047547,0.00019577395298526869,0.42971261352421675,0.002888787806604902,0.7670456886291503
pendigits,FCF,0.9529022784384715,0.0006941287234318819,0.24928053151066915,0.004246166465932312,0.2675573110580444
pendigits,LOF,0.49913164608204824,5.551115123125783e-17,0.0431010159776158,6.938893903907228e-18,0.08730802536010743
pendigits,OCSVM-rbf,0.8668463524361648,0.0,0.11174138882318249,2.7755575615628914e-17,0.18365283012390138
pendigits,OCSVM-linear,0.7790027344316889,0.0,0.06835752305061796,1.3877787807814457e-17,0.06159811019897461
annthyroid,IF,0.7962842070723927,0.0036670930733017255,0.2754587542684318,0.003449976218347987,0.030008602142333984
annthyroid,IF-u,0.8333759218618491,0.0011297045133887918,0.30745922873882303,0.002143581186023608,0.23020832538604735
annthyroid,EIF,0.8177193281125866,0.004142486950957893,0.29853095154249265,0.004754868586257433,0.09034538269042969
annthyroid,SCiF,0.7928032690909541,0.00017405537434822213,0.5057077801325496,0.0008177731548848224,0.19341983795166015
annthyroid,SCiF-u,0.9660577434147909,7.12848807427652e-05,0.6557971891415701,0.00028088370257396667,3.5541903257369993
annthyroid,FCF,0.861279147577679,0.000631792852567342,0.3737171384468115,0.0009227779240609192,0.31061227321624757
annthyroid,LOF,0.7266726672667267,0.0,0.1709146851557835,0.0,0.07237849235534669
annthyroid,OCSVM-rbf,0.6034142740116709,0.0,0.1596737788530777,2.7755575615628914e-17,0.20367496013641356
annthyroid,OCSVM-linear,0.2663069677754292,0.0,0.04651650259771796,6.938893903907228e-18,0.05977938175201416
mnist,IF,0.8235598187123611,0.0020843716042320483,0.294350071024146,0.0027893941230454525,0.03547909259796143
mnist,IF-u,0.8035082262370399,0.0008931706375210203,0.27740832179419866,0.0024071548224311994,0.19491734504699706
mnist,EIF,0.8385461186647627,0.004899413656366891,0.3349286494669196,0.00965624025709409,0.09728355407714843
mnist,SCiF,0.8585884605037147,0.002147212535368718,0.39995010469482745,0.003430568614408108,0.18750951290130616
mnist,SCiF-u,0.8442555617640364,0.0011260061744801195,0.37318861034240697,0.0025013663873424065,1.0418009519577027
mnist,FCF,0.7934107944785911,0.0005344877329505671,0.27507007636745195,0.0013082873644051666,0.3794506549835205
mnist,LOF,0.6727771569296993,0.0,0.24432283248744863,0.0,0.19478220939636232
mnist,OCSVM-rbf,0.8007516400736738,1.1102230246251565e-16,0.3512435081483273,0.0,0.4973282337188721
mnist,OCSVM-linear,0.46921752447176174,5.551115123125783e-17,0.0984589119304082,0.0,0.2210700750350952
