dataset,sweep,model,config,roc_mean,roc_std,pr_mean,pr_std,time_mean,time_std
arrhythmia,IF_depth_and_trees,IF,IF_t100_d8,0.8053854608258753,0.001572164609515644,0.4409486625122331,0.0060870004518338424,0.0029536008834838865,0.0003654646230404779
arrhythmia,IF_depth_and_trees,IF,IF_t200_d8,0.8014327209923066,0.0008164263947893196,0.4558010927597957,0.00379993250075703,0.005757379531860352,0.0002412074013063627
arrhythmia,IF_depth_and_trees,IF,IF_t100_dNone,0.7937313550007851,0.001745656734221188,0.458211687835038,0.005625301878152661,0.012169885635375976,0.0007034824491165095
arrhythmia,IF_depth_and_trees,IF,IF_t200_dNone,0.8081194065002355,0.0005320179594358036,0.4755463721192239,0.0030865097504312634,0.024003815650939942,0.0007976124648673187
arrhythmia,IF_sample_size,IF,IF_s64,0.8097739048516251,0.0019201558481659025,0.5020526080605199,0.006560084535729659,0.0023777008056640623,5.6417292201264614e-05
arrhythmia,IF_sample_size,IF,IF_s128,0.8166470403517035,0.001362292479595119,0.48368821918751326,0.0013128498014505247,0.002449321746826172,6.605053580714845e-05
arrhythmia,IF_sample_size,IF,IF_s256,0.8053854608258753,0.001572164609515644,0.4409486625122331,0.0060870004518338424,0.002585148811340332,7.188495709757103e-05
arrhythmia,IF_sample_size,IF,IF_s512,0.7946223897001099,0.001768443156106888,0.4614536240874501,0.0037055090190809313,0.0026664495468139648,0.00010395900063802336
arrhythmia,Split_geometry_ndim,IF,ndim1_random,0.8053854608258753,0.001572164609515644,0.4409486625122331,0.0060870004518338424,0.0026361227035522463,0.00013169626179080076
arrhythmia,Split_geometry_ndim,EIF,ndim2_random,0.7984926990108338,0.0024427123224486373,0.475766014163337,0.005213639787455477,0.013498187065124512,0.00020526638533068897
arrhythmia,FCF_trees_and_samplesize,FCF,FCF_t100_s256,0.8012207567907049,0.0017938237145067564,0.5255395248573128,0.007002377880938203,0.029318571090698242,0.0011568109112472685
arrhythmia,FCF_trees_and_samplesize,FCF,FCF_t200_s256,0.804066572460355,0.0005223550271988532,0.5456463408581016,0.001669088089910621,0.060666775703430174,0.0013258976346099763
arrhythmia,FCF_trees_and_samplesize,FCF,FCF_t200_s128,0.8125274768409483,0.0005840238657276769,0.5396271913337902,0.0009735566115327683,0.03126649856567383,0.0006182945634583931
arrhythmia,FCF_trees_and_samplesize,FCF,FCF_t200_s512,0.7955781912388129,0.0004420105830846588,0.4769491757486925,0.0020847301235880863,0.11339221000671387,0.015868508913231275
arrhythmia,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry1_pen0,0.820654733867169,0.0018765877347238738,0.5343741151890189,0.00287928749393412,0.01740102767944336,0.00033186466499934896
arrhythmia,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen0,0.7570183702308054,0.0025420919584104858,0.4218503662629008,0.005630792715370212,0.11952078342437744,0.001248267397709891
arrhythmia,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen1,0.7577641701994033,0.002799117122401545,0.42223276074986693,0.006106837353612634,0.11933379173278809,0.0010260893977144408
arrhythmia,Scoring_metric,IF,IF_score_depth,0.8053854608258753,0.001572164609515644,0.4409486625122331,0.0060870004518338424,0.002720952033996582,5.3059705265156444e-05
arrhythmia,Scoring_metric,IF,IF_score_density,0.7953407128277594,0.0029497221842804456,0.41481853872586594,0.0059408718413785895,0.0027571201324462892,4.245388095431189e-05
pima,IF_depth_and_trees,IF,IF_t100_d8,0.6949634328358208,0.0021215131653934825,0.5126758102383808,0.0017733861257948188,0.004250073432922363,0.00011179749197367222
pima,IF_depth_and_trees,IF,IF_t200_d8,0.6857380597014925,0.000631604776304504,0.5049188076038299,0.0006790923472168968,0.009001851081848145,0.00028599839012534645
pima,IF_depth_and_trees,IF,IF_t100_dNone,0.6867850746268657,0.0008981850961350375,0.5095452256089892,0.0021805830745727506,0.012330126762390137,0.00036695240517674294
pima,IF_depth_and_trees,IF,IF_t200_dNone,0.6734264925373135,0.000793097958513151,0.5000186530561751,0.000913685318344706,0.02571256160736084,0.0004859375170573149
pima,IF_sample_size,IF,IF_s64,0.6720052238805969,0.0024808332996289857,0.5105352969456658,0.004059377861127208,0.004131674766540527,0.000139599615943316
pima,IF_sample_size,IF,IF_s128,0.670276119402985,0.0011661340264350548,0.49638605256366714,0.0010587449478917691,0.004031133651733398,0.00013737263088968996
pima,IF_sample_size,IF,IF_s256,0.6949634328358208,0.0021215131653934825,0.5126758102383808,0.0017733861257948188,0.004206037521362305,9.73457073171781e-05
pima,IF_sample_size,IF,IF_s512,0.6551873134328359,0.0008700125977533113,0.4936446831225017,0.0007889714994977878,0.004811787605285644,8.460927173207788e-05
pima,Split_geometry_ndim,IF,ndim1_random,0.6949634328358208,0.0021215131653934825,0.5126758102383808,0.0017733861257948188,0.004252839088439942,0.00012100874091577568
pima,Split_geometry_ndim,EIF,ndim2_random,0.6766313432835821,0.000894708585453852,0.5032224915796375,0.0017518866511761222,0.019021081924438476,0.00036858922909246993
pima,FCF_trees_and_samplesize,FCF,FCF_t100_s256,0.6974772388059701,0.0008413239183694002,0.5209423569618306,0.001837517138067384,0.030190348625183105,0.0007199985396190372
